model,tta_accuracy,no_tta_accuracy
V3 Stronger,0.7181372549019608,0.6911764705882353
V4 MultiScale512,0.7083333333333334,0.6911764705882353
V5 Extended384,0.7205882352941176,0.6985294117647058
